Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProces	Sample	AirPollutantCode	ObservationDateBegin	ObservationDateEnd	Projection	Longitude	Latitude	Altitude	MeasurementType	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	BG0081A	BG0081A	Vd3	SPO-BG0081A_00001_100	SPP-BG_A_UV-FL_thermo43i	SPO_F-BG0081A_00001_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2017-11-10T00:00:00		EPSG:4979	22.867589	43.998931999999996	35	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo43i	3	30	25
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	BG0081A	BG0081A	Vd3	SPO-BG0081A_00005_100	SPP-BG_A_BETA_thermo5030SHARP	SPO_F-BG0081A_00005_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2017-11-10T00:00:00		EPSG:4979	22.867589	43.998931999999996	35	automatic	background	urban	yes	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo5030SHARP	3	30	25
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00001_500	SPP-BG_A_UV-FL_horibaAPSA370	SPO_F-BG0013A_00001_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/horibaAPSA370	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00005_500	SPP-BG_A_BETA_opsisSM200	SPO_F-BG0013A_00005_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	yes	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/opsisSM200	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00007_500	SPP-BG_A_UV-P_92110	SPO_F-BG0013A_00007_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/other	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00008_500	SPP-BG_A_chemi_MLU200A		http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8			EPSG:4979	27.587239	43.223043999999994	20		background	urban			-999	-999	-999
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00010_500	SPP-BG_A_NDIR_thermo48i	SPO_F-BG0013A_00010_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/thermo48i	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00020_100	SPP-BG_A_51411GC855BTX-600	SPO_F-BG0013A_00020_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2006-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/GC855BTX-600	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00035_500	SPP-BG_A_chemi_02114	SPO_F-BG0013A_00035_500_500	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/35	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/other	3	30	4
BG	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02	BG.BG-ExEA.AQ	NET-BG001A	STA-BG0013A	BG0013A	Dv1	SPO-BG0013A_00038_100	SPP-BG_A_chemi_92312	SPO_F-BG0013A_00038_100_100	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38	1990-01-01T00:00:00		EPSG:4979	27.587239	43.223043999999994	20	automatic	background	urban	ref	http://dd.eionet.europa.eu/vocabulary/aq/measurementequipment/other	3	30	4
